subid,convert_TF
23529874,TRUE
25670103,FALSE
26981803,FALSE
21494632,TRUE
20214928,TRUE
29399204,TRUE
20148056,TRUE
27920101,TRUE
20473770,TRUE
20790391,TRUE
27671825,TRUE
26167212,FALSE
29728956,FALSE
29461026,FALSE
21461886,FALSE
21967308,FALSE
23271703,FALSE
20500869,FALSE
22480590,FALSE
21817379,TRUE
23298287,FALSE
29518991,TRUE
23506003,TRUE
22580094,TRUE
29786115,TRUE
20376526,FALSE
26784001,FALSE
20611426,TRUE
26269970,FALSE
22694076,TRUE
26208112,TRUE
29566020,TRUE
27095018,FALSE
29823659,TRUE
25735452,FALSE
20793632,FALSE
22275505,TRUE
23972509,TRUE
23246520,TRUE
29478673,TRUE
29981156,TRUE
24445529,TRUE
27787115,TRUE
21698311,FALSE
29499809,TRUE
26073378,FALSE
20355755,TRUE
20685357,FALSE
24168887,TRUE
26834633,FALSE
27398165,TRUE
22634320,TRUE
25259119,FALSE
22184224,FALSE
25696643,FALSE
21211554,TRUE
29829353,TRUE
21362509,TRUE
29028885,FALSE
26392974,TRUE
24344685,FALSE
21798198,TRUE
23594706,TRUE
20764968,FALSE
22457609,FALSE
24097112,TRUE
24164138,TRUE
20534186,FALSE
25172536,TRUE
22002506,FALSE
29977666,TRUE
20329571,FALSE
20748741,TRUE
21896777,TRUE
26254232,TRUE
25013191,FALSE
25039260,FALSE
26300397,FALSE
27135920,TRUE
25102142,TRUE
29870250,FALSE
29096855,TRUE
29899842,TRUE
22506906,FALSE
23218099,FALSE
21621068,FALSE
26790544,TRUE
24005836,TRUE
28728313,FALSE
23781071,TRUE
23391807,FALSE
23058517,TRUE
26618460,TRUE
28323789,TRUE
25088809,FALSE
24179989,TRUE
21939458,FALSE
20343301,TRUE
26146814,FALSE
25005599,TRUE
23494149,FALSE
22250109,FALSE
20764368,TRUE
22635413,FALSE
20961834,FALSE
24426780,FALSE
26780247,TRUE
25855427,TRUE
22165019,TRUE
25942633,TRUE
26534657,TRUE
25148518,FALSE
22173256,TRUE
29442015,TRUE
28462519,FALSE
24061513,TRUE
22354358,TRUE
21849725,FALSE
20710181,TRUE
28938610,TRUE
21406642,FALSE
28299318,TRUE
22706719,FALSE
25106711,FALSE
21713679,FALSE
21983644,TRUE
26551293,FALSE
22313965,TRUE
26078992,TRUE
23076359,TRUE
20855176,FALSE
20367938,TRUE
25412415,TRUE
29024789,TRUE
27344861,FALSE
22272344,FALSE
21605262,FALSE
20185319,TRUE
21128639,TRUE
22177593,FALSE
29045573,TRUE
20614988,FALSE
26819624,TRUE
23792409,FALSE
28580350,FALSE
24007786,TRUE
24190979,FALSE
22659211,TRUE
26111245,FALSE
22054789,TRUE
21207093,FALSE
27880056,TRUE
28399786,TRUE
28465421,TRUE
21696060,FALSE
23561358,TRUE
22708847,FALSE
21664432,FALSE
20116525,TRUE
23474718,TRUE
21808162,TRUE
25875582,FALSE
21568229,TRUE
24592661,TRUE
23283289,FALSE
27618903,FALSE
20501679,FALSE
28833987,TRUE
24673085,FALSE
23952733,TRUE
20449023,TRUE
20907711,TRUE
27799715,FALSE
23607493,TRUE
24360666,FALSE
25107717,FALSE
21009371,TRUE
24017284,TRUE
24083912,FALSE
27037922,TRUE
27356071,TRUE
26772091,TRUE
22251942,TRUE
26599100,TRUE
25029796,FALSE
22670286,FALSE
23231611,TRUE
29714547,FALSE
24727694,FALSE
23382487,TRUE
29574054,TRUE
20681692,TRUE
22813842,FALSE
27667106,TRUE
21842183,TRUE
22879014,FALSE
21295201,TRUE
27789986,TRUE
24520317,TRUE
29254439,TRUE
23031502,TRUE
26552707,FALSE
22662890,FALSE
26797594,TRUE
21891829,TRUE
26673427,FALSE
26942804,TRUE
21594652,FALSE
21817754,TRUE
24704023,TRUE
25235902,TRUE
23381388,FALSE
21408133,TRUE
29905552,TRUE
28411269,TRUE
22065940,TRUE
22404051,TRUE
26169715,FALSE
27379569,TRUE
24774277,TRUE
23269052,FALSE
22069506,FALSE
23764556,FALSE
21872058,TRUE
27405746,TRUE
25556633,TRUE
25030254,FALSE
28080828,FALSE
26473027,TRUE
22413883,TRUE
27101076,TRUE
22062397,FALSE
25228382,TRUE
28086478,TRUE
20264512,TRUE
21222161,TRUE
21303666,FALSE
25466841,TRUE
27610889,FALSE
25470386,TRUE
24300044,FALSE
23329113,TRUE
20157769,FALSE
26561713,TRUE
23091921,FALSE
21233374,FALSE
22927566,TRUE
29642352,TRUE
29798875,FALSE
22248125,FALSE
29511564,TRUE
29462488,TRUE
28751033,TRUE
23350558,FALSE
28272388,FALSE
24707197,TRUE
21185286,FALSE
24910876,FALSE
21662676,TRUE
21686485,FALSE
22285962,TRUE
22945258,FALSE
23422167,FALSE
26953015,FALSE
27740351,FALSE
26353718,TRUE
25448574,TRUE
28091675,FALSE
23190640,TRUE
22073036,TRUE
21615848,TRUE
27277078,FALSE
25305807,FALSE
21854543,TRUE
22815140,TRUE
28484736,TRUE
25939311,TRUE
22647410,TRUE
26845526,TRUE
23660000,TRUE
28510696,TRUE
26379744,FALSE
23599172,FALSE
24826263,TRUE
20312937,TRUE
21248951,TRUE
29012274,TRUE
28145477,TRUE
26751605,TRUE
21286277,TRUE
29617928,FALSE
22779498,FALSE
25883882,TRUE
24694771,FALSE
24909239,FALSE
28760294,FALSE
27492214,FALSE
20333088,TRUE
24033015,TRUE
21718655,FALSE
24327945,FALSE
28481583,TRUE
22007043,FALSE
24089626,TRUE
29506543,FALSE
21760615,TRUE
21958396,FALSE
24375035,TRUE
25454815,FALSE
25138087,TRUE
29239729,FALSE
20450305,TRUE
27482889,TRUE
20569917,TRUE
21928101,TRUE
25313611,FALSE
21711564,TRUE
27067100,FALSE
29790102,FALSE
20956460,FALSE
25079485,TRUE
